id,review_title,review,pros,cons,rating,job_status,position,company,year
1,Good company,the client work developed my career,good technology and interesting clients. strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,5,Former Employee,Software Engineer,Company I,2017
2,Okay overall,provided customer support on the service product,clear process and a supportive project team. clear role and steady service work. good project structure,the process is slow,3,Current Employee,Data Analyst,Company A,2018
3,Solid employer,managed the process and the product for the customer team,clear process and a supportive project team. clear role and steady service work,too much process for a small project. the process is slow,4,Former Employee,Team Lead,Company B,2017
4,Poor management,the supervisor and upper management were the problem,one decent team lead,bad management and high stress,1,Former Employee,Senior Consultant,Company B,2019
5,Great place to work,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,comfortable office and a short commute. a helpful office and a clean center,the office equipment is old. the call center office felt dated,5,Current Employee,Business Analyst,Company F,2012
6,Good company,a great company with a good culture,great benefits and a good place,the busy period can stretch. large place so things move slowly,5,Current Employee,Team Lead,Company D,2019
7,Would recommend,the culture and the technology gave me a career path. good career opportunities across a strong organisation,good technology and interesting clients. strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,4,Former Employee,Systems Administrator,Company C,2020
8,Disappointing,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted. the pay arrived on time,constant layoffs every year,1,Current Employee,Systems Administrator,Company J,2012
9,Would recommend,enjoyed the work and learned every day,learned a lot from the team. enjoyed the daily work,some days were long,4,Current Employee,Business Analyst,Company D,2018
10,Good and bad,project work covering support and service delivery,clear role and steady service work. clear process and a supportive project team,the process is slow. too much process for a small project,3,Current Employee,Software Engineer,Company A,2019
11,Enjoyed my time,the client work developed my career. good career opportunities across a strong organisation,good technology and interesting clients. career development is taken seriously,career progress can be slow,5,Former Employee,Systems Administrator,Company H,2015
12,Good company,a typical day was enjoyable and i learned something new,enjoyed the daily work. learned a lot from the team,some days were long,4,Former Employee,Customer Service Representative,Company C,2015
13,Disappointing,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time. decent pay at the start. good benefits while they lasted,low pay for the hours asked. job security is poor,2,Current Employee,Customer Service Representative,Company A,2013
14,Enjoyed my time,a typical day was enjoyable and i learned something new,enjoyed the daily work,some days were long. the hardest part was the pace,4,Former Employee,Technical Support Specialist,Company F,2017
15,Would recommend,the work environment is good and the people are great,great place to work. lots of opportunity to grow. great culture and great people,nothing serious to note. large place so things move slowly,5,Former Employee,Customer Service Representative,Company J,2020
16,Would recommend,the work environment is good and the people are great. great environment and good people to learn from,great benefits and a good place. good benefits and a good environment. good work environment,little to complain about,4,Former Employee,Business Analyst,Company J,2018
17,Would recommend,great environment and good people to learn from. a great company with a good culture,lots of opportunity to grow. good people and a strong work environment,the busy period can stretch,4,Former Employee,Technical Support Specialist,Company K,2015
18,Average employer,long hours answering calls for low pay,good training when you start. you learn the systems quickly,short break between calls. low pay for a long day of calls,3,Current Employee,Technical Support Specialist,Company D,2020
19,Great place to work,great environment and good people to learn from,good people and a strong work environment,nothing serious to note. the busy period can stretch,5,Former Employee,Systems Administrator,Company G,2016
20,Good and bad,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,good benefits while they lasted,low pay for the hours asked,3,Former Employee,Business Analyst,Company J,2018
21,Not what was promised,layoffs and low pay defined my time there,the pay arrived on time,low pay for the hours asked,1,Current Employee,Software Engineer,Company H,2018
22,Great place to work,good place with real opportunity,lots of opportunity to grow. good people and a strong work environment,nothing serious to note,5,Former Employee,Team Lead,Company A,2018
23,Solid employer,the work environment is good and the people are great,good benefits and a good environment. great place to work. great benefits and a good place,the busy period can stretch. nothing serious to note,5,Former Employee,Network Engineer,Company D,2019
